EFTA	﻿A.E.L.E.
gordinflón	grassouillet
llenito	grassouillet
lleno	grassouillet
regordete	grassouillet
rollizo	grassouillet
gratificante	gratifiant
asignación	gratification
bonificación	gratification
gratificación	gratification
pensión	gratification
plus	gratification
sobresueldo	gratification
subsidio	gratification
gratificar	gratifier
flor y nata	gratin
gratinado	gratin
gratén	gratin
pegado	gratin
flor y nata	gratin dauphinois
gratinar	gratiner
de aúpa	gratiné
de la gran siete	gratiné
fuerte	gratiné
gratinado	gratiné
sopa de cebolla gratinada	gratinée
gratis	gratis
agradecimiento	gratitude
gratitud	gratitude
sarna	gratte
rascacielos	gratte-ciel
chupatintas	gratte-papier
rascadura	grattement
adelantar	gratter
arañar	gratter
currar	gratter
escamar	gratter
escarbar	gratter
ganar	gratter
garrapatear	gratter
llamar suavemente	gratter
picar	gratter
pinchar	gratter
pulsar	gratter
rallar	gratter
rascar	gratter
rascarse	gratter
rasgar	gratter
rasguear	gratter
raspar	gratter
sacar	gratter
tocar mediocremente un instrumento	gratter d'un instrument
llamar suavemente a la puerta	gratter à la porte
rascador	grattoir
raspador	grattoir
gracioso	gratuit
gratuito	gratuit
libre	gratuit
de balde	gratuitement
graciosamente	gratuitement
gratis	gratuitement
gratuitamente	gratuitement
gratuidad	gratuité
cascotes	gravats
derribo	gravats
escombros	gravats
agudo	grave
bajo	grave
grave	grave
serio	grave
grave	grave
grave	grave
escabroso	graveleux
granuloso	graveleux
lleno de grava	graveleux
obsceno	graveleux
pedregoso	graveleux
verde	graveleux
escabrosidad	gravelure
verdura	gravelure
con gravedad	gravement
de gravedad	gravement
gravemente	gravement
seriamente	gravement
arañar	graver
burilar	graver
grabar	graver
imprimir	graver
rayar	graver
grabador	graveur
grabadora	graveuse
almendrilla	gravier
cascajo	gravier
grava	gravier
gravilla	gravier
guijarros	gravier
guijo	gravier
pedregullo	gravier
almendrilla	gravillon
cascajo	gravillon
grava	gravillon
gravilla	gravillon
guijarros	gravillon
guijo	gravillon
escalar	gravir
remontar	gravir
subir	gravir
subir dificultosamente	gravir
gravedad	gravitation
gravitación	gravitation
girar	graviter
girar alrededor	graviter
gravitar	graviter
dar vueltas alrededor de	graviter autour de
girar alrededor de	graviter autour de
girar en torno a	graviter autour de
girar en torno de	graviter autour de
gravedad	gravité
majestad	gravité
majestuosidad	gravité
seriedad	gravité
grabado	gravure
lámina	gravure
griego	grec
griego	grec
greca	grecque
griega	grecque
belitre	gredin
bellaco	gredin
bergante	gredin
bribón	gredin
canalla	gredin
rufián	gredin
sinvergüenza	gredin
bribona	gredine
esqueje	greffe
injerto	greffe
secretaría del juzgado	greffe
transplante	greffe
trasplantación	greffe
trasplante	greffe
injertar	greffer
sumarse	greffer
transplantar	greffer
trasplantar	greffer
secretaria judicial	greffier
secretario judicial	greffier
secretaria judicial	greffière
esqueje	greffon
injerto	greffon
cascabel	grelot
tiritera	grelottement
tiritona	grelottement
temblar	grelotter
tiritar	grelotter
titiritar	grelotter
granada	grenade
obús	grenade
granadero	grenadier
granado	grenadier
granadina	grenadine
granate	grenat
granate	grenat
granar	grener
almacén	grenier
altillo	grenier
boardilla	grenier
desván	grenier
granero	grenier
sobrado	grenier
ático	grenier
pajar	grenier à paille
alcancía	grenouille
hucha	grenouille
rana	grenouille
rata de sacristía	grenouille de bénitier
trapichear	grenouiller
osito	grenouillère
pelele	grenouillère
pelele con pies	grenouillère
pelele entero	grenouillère
granuloso	grenu
gravar	grever
garabato	gribouillage
garabatear	gribouiller
pintarrajear	gribouiller
emborronar	gribouiller sur
garabato	gribouillis
objeción	grief
queja	grief
arañazo	griffe
garra	griffe
sello	griffe
uña	griffe
zarpa	griffe
arañar	griffer
firmar	griffer
rascar	griffer
rasguñar	griffer
emborronar	griffonner
garabatear	griffonner
pintarrajear	griffonner
arañazo	griffure
arpadura	griffure
rasguño	griffure
raya	griffure
de marca	griffé
mordiscar	grignoter
mordisquear	grignoter
picar	grignoter
picotear	grignoter
pulirse	grignoter
roer	grignoter
ronzar	grignoter
sacar	grignoter
avara	grigou
avaro	grigou
judía	grigou
judío	grigou
parrilla	gril
plancha	gril
asador	grill
grill	grill
parrilla	grill-room
churrasco	grillade
parrillada	grillade
alambrada	grillage
cerca	grillage
cercado	grillage
enrejado	grillage
rejilla	grillage
valla	grillage
vallado	grillage
alambrar	grillager
cercar	grillager
enrejar	grillager
rodear de una valla	grillager
vallar	grillager
cancela	grille
casillas	grille
cuadro	grille
encasillado	grille
enrejado	grille
parrilla	grille
programación	grille
reja	grille
rejilla	grille
verja	grille
tostador	grille-pain
tostador de pan	grille-pain
tostadora	grille-pain
abrasar	griller
achicharrar	griller
arder	griller
arder en deseos	griller
asar	griller
asar a la parrilla	griller
asarse	griller
asurar	griller
calcinar	griller
chamuscar	griller
emparrillar	griller
enrejar	griller
fumar	griller
fumarse	griller
fundir	griller
fundirse	griller
pasar	griller
pasar delante de	griller
quemar	griller
saltarse	griller
socarrar	griller
tostar	griller
asar	griller au barbecue
asar a la parrilla	griller au barbecue
asar al aire	griller au barbecue
alamparse por	griller de
anhelar	griller de
ansiar	griller de
desear ansiosamente	griller de
suspirar por	griller de
tostar	griller du pain
chicharra	grillon
grillo	grillon
quemado	grillé
tostado	grillé
gesticulación	grimace
gesto	grimace
mohín	grimace
mueca	grimace
gesticular	grimacer
hacer muecas	grimacer
hacer una mueca	grimacer
caracterización	grimage
caracterizar	grimer
caracterizarse	grimer
maquillar	grimer
pintar	grimer
galimatías	grimoire
enredadera	grimpant
trepador	grimpant
encaramar	grimper
encaramarse	grimper
enredar	grimper
escalar	grimper
estar en cuesta	grimper
gatear	grimper
subir	grimper
trepar	grimper
trepar a	grimper
subir	grimper à
trepador	grimpeur
trepador	grimpeur
trepadora	grimpeuse
escalada	grimpée
subida	grimpée
chirrido	grincement
crujido	grincement
chillar	grincer
chirriar	grincer
crujir	grincer
gruñir	grincer
rechinar	grincer
cascarrabias	grincheuse
gruñona	grincheuse
gruñón	grincheux
malhumorado	grincheux
cascarrabias	grincheux
gruñón	grincheux
gringa	gringo
gringo	gringo
agrio	grinçant
chirriante	grinçant
cínico	grinçant
cereza garrafal	griotte
guinda	griotte
dureza	grippage
gripa	grippe
gripe	grippe
influenza	grippe
trancazo	grippe
amarrete	grippe-sou
ruin	grippe-sou
agarrado	grippe-sou
avara	grippe-sou
avaricioso	grippe-sou
avariento	grippe-sou
avaro	grippe-sou
cicatero	grippe-sou
judía	grippe-sou
judío	grippe-sou
mezquino	grippe-sou
miserable	grippe-sou
mísero	grippe-sou
roído	grippe-sou
roñosa	grippe-sou
roñoso	grippe-sou
sórdido	grippe-sou
tacaño	grippe-sou
agarrotarse	gripper
atascarse	gripper
atrancarse	gripper
agarrotado	grippé
duro	grippé
griposo	grippé
achispado	gris
bebido	gris
ceniciento	gris
chispo	gris
encanecido	gris
gris	gris
piripi	gris
gris	gris
tabaco picado fuerte que se vende envuelto en un papel de color gris	gris
gris claro	gris clair
gris perla	gris clair
gris marengo	gris foncé
gris oscuro	gris foncé
marengo	gris foncé
desolación	grisaille
monotonía	grisaille
obscuridad	grisaille
tono	grisaille
tono gris	grisaille
embriagador	grisant
embriagar	griser
embriaguez	griserie
mona	griserie
canoso	grisonnant
entrecano	grisonnant
encanecerse	grisonner
grisú	grisou
ceniciento	grisâtre
grisáceo	grisâtre
agrisado	grisé
embriagado	grisé
punteado gris	grisé
tordo	grive
zorzal	grive litorne
picante	grivois
verde	grivois
escabrosidad	grivoiserie
verdura	grivoiserie
grizzli	grizzli
gravemente	grièvement
grog	grog
ponche	grog
grogui	groggy
descontento	grogne
gruñido	grognement
espetar	grogner
gruñir	grogner
murmurar	grogner
quejarse	grogner
refunfuñar	grogner
regañar	grogner
rezar	grogner
rezongar	grogner
gruñón	grognon
quejarse	grognonner
regañar	grognonner
catadura	groin
hocico	groin
jeta	groin
morro	groin
barbotar	grommeler
barbotear	grommeler
gruñir	grommeler
hablar entre dientes	grommeler
mascullar	grommeler
murmurar	grommeler
musitar	grommeler
quejarse	grommeler
refunfuñar	grommeler
regañar	grommeler
rezongar	grommeler
estruendo	grondement
fragor	grondement
gruñido	grondement
rugido	grondement
rumor	grondement
chillar	gronder
gru ir	gronder
gruñir	gronder
regañar	gronder
retumbar	gronder
reñir	gronder
rugir	gronder
botones	groom
mucho	gros
amondongado	gros
atocinado	gros
barrigudo	gros
basto	gros
fuerte	gros
gordo	gros
gran	gros
grande	gros
grueso	gros
tosco	gros
voluminoso	gros
gordo	gros
grueso	gros
mayoreo	gros
mayoría	gros
negocios al por mayor	gros
pez gordo	gros
venta al por mayor	gros
gordinflón	gros bonhomme
achuchón	gros câlin
apuro	gros ennui
caza mayor	gros gibier
cinturilla	gros grain
gordo	gros lot
premio gordo	gros lot
premio mayor	gros lot
tarugo	gros morceau de bois
palabrota	gros mot
taco	gros mot
paredón	gros mur
nubarrón	gros nuage
borrasca	gros temps
temporal	gros temps
titular	gros titre
titular	gros titres
estructura y cimientos	gros œuvre
otomán	gros-grain
jumbo	gros-porteur
grosella	groseille
grosella	groseille
grosella negra	groseille noire
grosellero	groseillier
gros	grosse
embarazada	grosse
encinta	grosse
gorda	grosse
gruesa	grosse
pez gordo	grosse
preñada	grosse
chocarrería	grosse blague
gordinflona	grosse bonne femme
bombo	grosse caisse
moflete	grosse joue
pez gordo	grosse légume
moscón	grosse mouche
pedrusco	grosse pierre
chocarrería	grosse plaisanterie
tablón	grosse planche
lamparón	grosse tache
sabihonda	grosse tête
sabihondo	grosse tête
vozarrón	grosse voix
Besos	grosses bises
período de calor	grosses chaleurs
embarazo	grossesse
estado interesante	grossesse
gestación	grossesse
gravidez	grossesse
preñado	grossesse
preñez	grossesse
adiposidad	grosseur
bulto	grosseur
chichón	grosseur
espesor	grosseur
gordura	grosseur
grosor	grosseur
grueso	grosseur
protuberancia	grosseur
tamaño	grosseur
aproximado	grossier
basto	grossier
bronco	grossier
burdo	grossier
cafre	grossier
cerril	grossier
chabacano	grossier
chocarrero	grossier
craso	grossier
fuerte	grossier
grosero	grossier
indecente	grossier
lépero	grossier
mal educado	grossier
malhablado	grossier
malsonante	grossier
ordinario	grossier
palurdo	grossier
patán	grossier
pedestre	grossier
ramplón	grossier
rudo	grossier
rústico	grossier
soez	grossier
tosco	grossier
vulgar	grossier
cafre	grossier personnage
abotagarse	grossir
abotargarse	grossir
abultar	grossir
agrandar	grossir
ampliar	grossir
aumentar	grossir
crecer	grossir
engordar	grossir
engrosar	grossir
exagerar	grossir
hacer crecer	grossir
hacer parecer más gordo	grossir
hinchar	grossir
hincharse	grossir
inflar	grossir
inflarse	grossir
de aumento	grossissant
aumento	grossissement
crecimiento	grossissement
exageración	grossissement
mayorista	grossiste
aproximadamente	grossièrement
chabacanamente	grossièrement
groseramente	grossièrement
grosso modo	grossièrement
rudamente	grossièrement
rústicamente	grossièrement
toscamente	grossièrement
vulgarmente	grossièrement
asquerosidad	grossièreté
grosería	grossièreté
guarangada	grossièreté
mala educación	grossièreté
ordinariez	grossièreté
rudeza	grossièreté
tosquedad	grossièreté
aproximadamente	grosso modo
grosso modo	grosso modo
grotesco	grotesque
grotesco	grotesque
grutesco	grotesque
grotescamente	grotesquement
cueva	grotte
gruta	grotte
bullicioso	grouillant
bullir	grouiller
darse prisa	grouiller
hervir	grouiller
hormiguear	grouiller
plagarse	grouiller
pulular	grouiller
agrupación	groupage
agrupación	groupe
banda	groupe
banda de música	groupe
colectivo	groupe
compañía	groupe
conjugación	groupe
conjunto	groupe
cuadro	groupe
grupo	groupe
grupo de empresas	groupe
pandilla	groupe
plantel	groupe
tanda	groupe
guerrilla	groupe de guérilleros
grupo sanguíneo	groupe sanguin
piña	groupe uni
grupo electrógeno	groupe électrogène
agrupación	groupement
agrupamiento	groupement
concentración	groupement
formación de grumos	groupement
grupo	groupement
unión	groupement
agrupar	grouper
agruparse	grouper
reunir en grupo	grouper
groupie	groupie
grupúsculo	groupuscule
harina en flor	gruau
cabria	grue
grulla	grue
grúa	grue
mujerzuela	grue
pendona	grue
pendón	grue
zorra	grue
árgana	grue
estafar	gruger
borujo	grumeau
grumo	grumeau
grumoso	grumeleux
gruyère	gruyère
queso gruyère	gruyère
airosidad	grâce
clemencia	grâce
donaire	grâce
elegancia	grâce
encanto	grâce
favor	grâce
gana	grâce
garbo	grâce
gracia	grâce
grado	grâce
indulto	grâce
merced	grâce
misericordia	grâce
perdón	grâce
gracias a	grâce à
arenisca	grès
cerámica	grès
gres	grès
loza	grès
arenal	grève
huelga	grève
paro	grève
grado	gré
grecorromano	gréco-romain
aparejo	gréement
aparejar	gréer
gregario	grégaire
gregoriano	grégorien
granizo	grésil
canto	grésillement
chisporroteo	grésillement
cantar	grésiller
chisporrotear	grésiller
huelguista	gréviste
huelguista	gréviste
agudo	grêle
delgado	grêle
delgaducho	grêle
flaco	grêle
granizada	grêle
granizo	grêle
lluvia	grêle
pedrisco	grêle
piedra	grêle
dañar	grêler
granizar	grêler
granizo	grêlon
trozo de granizo	grêlon
picado de viruela	grêlé
guadalupeño	guadeloupéen
guadalupeño	guadeloupéen
guadalupeña	guadeloupéenne
guatemalteco	guatémaltèque
guatemalteca	guatémaltèque
guatemalteco	guatémaltèque
andrajo	guenille
harapo	guenille
mona	guenon
mono	guenon
simia	guenon
simio	guenon
guerra	guerre
belicoso	guerrier
bélico	guerrier
de guerra	guerrier
guerrero	guerrier
marcial	guerrier
militar	guerrier
guerrera	guerrier
guerrero	guerrier
hombre de guerra	guerrier
guerrera	guerrière
guerrear	guerroyer
acecho	guet
asechanza	guet-apens
celada	guet-apens
emboscada	guet-apens
encerrona	guet-apens
trampa	guet-apens
zalagarda	guet-apens
acechar	guetter
aguaitar	guetter
amaitinar	guetter
atalayar	guetter
atisbar	guetter
avizorar	guetter
bichar	guetter
bichear	guetter
espiar	guetter
fisgar	guetter
rondar	guetter
bronca	gueulante
bufido	gueulante
cabreo	gueulante
gritón	gueulard
gritón	gueulard
gritona	gueularde
boca	gueule
careto	gueule
hocico	gueule
pico	gueule
resaca	gueule de bois
dragón	gueule-de-loup
berrear	gueuler
comilona	gueuleton
andrajosa	gueuse
andrajoso	gueuse
mendiga	gueuse
pordiosera	gueuse
andrajosa	gueux
andrajoso	gueux
mendigo	gueux
pordiosero	gueux
muérdago	gui
gamba	guibolle
boletería	guichet
casilla	guichet
despacho	guichet
portillo	guichet
postigo	guichet
taquilla	guichet
ventanilla	guichet
cajero automático	guichet automatique
boletera	guichetier
boletero	guichetier
taquillero	guichetier
taquillera	guichetière
cicerone	guide
guía	guide
rienda	guide
lazarillo	guide d'aveugle
conducir	guider
guiar	guider
llevar	guider
manillar	guidon
malapata	guignard
persona de mala suerte	guignard
malapata	guignarde
persona de mala suerte	guignarde
cenizo	guigne
mala racha	guigne
mala suerte	guigne
negra	guigne
acechar	guigner
espiar	guigner
guipar	guigner
tener los ojos puestos	guigner
cómica	guignol
cómico	guignol
guiñol	guignol
marionetas	guignol
teatro de marionetas	guignol
teatro guiñol	guignol
títere	guignol
títeres	guignol
corporación	guilde
gremio	guilde
comilla	guillemet
comillas	guillemet
alegre	guilleret
animado	guilleret
vivaracho	guilleret
guillotina	guillotine
guillotinar	guillotiner
malvavisco	guimauve
nube	guimauve
ñoñería	guimauve
birimbao	guimbarde
cacharro	guimbarde
cafetera	guimbarde
carromato	guimbarde
tartana	guimbarde
bailotear	guincher
izar	guinder
ampuloso	guindé
ceremonioso	guindé
estirado	guindé
etiquetero	guindé
formal	guindé
tieso	guindé
baile al aire libre	guinguette
guineano	guinéen
guineano	guinéen
guineana	guinéenne
guirnalda	guirlande
albedrío	guise
guisa	guise
guitarra	guitare
guitarrista	guitariste
gustativo	gustatif
gutural	guttural
guyanés	guyanais
guyanés	guyanais
guyanesa	guyanaise
vado	gué
guepardo	guépard
velador	guéridon
guerrilla	guérilla
guerrillera	guérillero
guerrillero	guérillero
curar	guérir
curarse	guérir
devolver la salud a	guérir
ir mejorando	guérir
mejorarse	guérir
ponerse mejor	guérir
reponerse	guérir
restablecerse	guérir
sanar	guérir
cura	guérison
curación	guérison
recuperación	guérison
restablecimiento	guérison
curable	guérissable
curandero	guérisseur
matasanos	guérisseur
medicastro	guérisseur
medicucho	guérisseur
mediquillo	guérisseur
yerbatero	guérisseur
curandera	guérisseuse
garita	guérite
avispa	guêpe
avispero	guêpier
cenagal	guêpier
calentador	guêtre
polaina	guêtre
gimnasia	gym
gincana	gymkhana
gymkhama	gymkhana
gimnasio	gymnase
gimnasta	gymnaste
gimnasia	gymnastique
ginecóloga	gynéco
ginecólogo	gynéco
ginecología	gynécologie
ginecológico	gynécologique
ginecóloga	gynécologue
ginecólogo	gynécologue
quebrantahuesos	gypaète
escayola	gypse
yeso	gypse
sirena	gyrophare
aguar	gâcher
amargar	gâcher
amasar	gâcher
arruinar	gâcher
chapucear	gâcher
dar	gâcher
desgraciar	gâcher
desperdiciar	gâcher
despilfarrar	gâcher
echar a perder	gâcher
emponzoñar	gâcher
estropear	gâcher
fastidiar	gâcher
malgastar	gâcher
malograr	gâcher
perder	gâcher
gatillo	gâchette
argamasa	gâchis
derroche	gâchis
desastre	gâchis
mortero	gâchis
bizcocho	gâteau
dulce	gâteau
panal	gâteau
pastel	gâteau
pasteles	gâteau
tarta	gâteau
torta	gâteau
mantecado	gâteau au saindoux
aguar	gâter
alterar	gâter
arruinar	gâter
